Project_ID,Location,Room_Type,Room_Area,Floor_Type,Ceiling_Type,Wall_Finish,Lighting_Preference,Budget_Range,Total_Cost,Project_Type,Design_Type
1,"https://maps.google.com/?q=81.0753084905775,16.72404007848209",garage,3117,laminate,tray,wood paneling,warm white,luxury,337647,industrial,
2,"https://maps.google.com/?q=-84.29462495439718,-1.1933016284865232",home theater,1171,wooden,tray,paint,recessed,luxury,310266,industrial,
3,"https://maps.google.com/?q=42.21420490170013,138.06933515539777",playroom,1437,vinyl,vaulted,tiles,pendant,high,468441,,mid-century
4,"https://maps.google.com/?q=-73.73393809417851,131.88744971637033",entryway,3636,laminate,flat,wallpaper,cool white,luxury,306095,commercial,
5,"https://maps.google.com/?q=-31.92041734775116,-95.92210269943239",balcony,2745,laminate,flat,stone cladding,warm white,low,579120,industrial,
6,"https://maps.google.com/?q=-75.77931790599862,-172.09491134496488",terrace,3736,vinyl,custom,stone cladding,warm white,high,314482,industrial,
7,"https://maps.google.com/?q=-86.18144962460254,28.027647129494426",entryway,2653,concrete,flat,paint,cool white,luxury,360536,,rustic
8,"https://maps.google.com/?q=59.61349021970793,-116.78650214650152",study,4162,concrete,custom,paint,daylight,low,65144,infrastructure,
9,"https://maps.google.com/?q=4.742494688773888,-111.93012513605697",living room,3755,wooden,vaulted,wallpaper,daylight,luxury,301530,commercial,
10,"https://maps.google.com/?q=51.24704514909217,-97.29496739542259",bedroom,2124,marble,tray,wallpaper,cool white,luxury,415750,,mid-century
11,"https://maps.google.com/?q=-82.1757216694656,-24.62856296865337",study,4646,laminate,tray,tiles,recessed,medium,486829,renovation,
12,"https://maps.google.com/?q=-23.176008206934142,-173.34609015540167",shop,3524,concrete,beam,paint,cool white,high,584972,residential,
13,"https://maps.google.com/?q=54.83473403952661,-175.95897860195814",library,4742,tile,custom,wood paneling,warm white,high,383127,,rustic
14,"https://maps.google.com/?q=25.476288920472598,88.25927127275929",playroom,1014,wooden,tray,wallpaper,cool white,high,190212,commercial,
15,"https://maps.google.com/?q=-29.68407626803259,54.74752607919592",living room,4158,vinyl,beam,stone cladding,recessed,low,450217,,rustic
16,"https://maps.google.com/?q=33.043729890236435,1.2400514753217067",terrace,2802,concrete,beam,paint,cool white,high,166586,,industrial
17,"https://maps.google.com/?q=75.85682417702077,35.113517599578785",kitchen,3960,tile,flat,wood paneling,chandelier,high,501165,residential,
18,"https://maps.google.com/?q=57.34434067817435,-91.07146475816037",study,3087,concrete,flat,tiles,pendant,luxury,499672,,art deco
19,"https://maps.google.com/?q=-34.670299474168836,-87.6765095438321",balcony,1347,wooden,custom,paint,chandelier,medium,460700,,minimalist
20,"https://maps.google.com/?q=-20.718551616236198,54.611423530214125",entryway,3140,marble,beam,paint,cool white,medium,277988,,scandinavian
21,"https://maps.google.com/?q=36.696021994456146,-108.13777130453495",home theater,1243,laminate,flat,paint,pendant,medium,513837,,art deco
22,"https://maps.google.com/?q=13.07897039804358,38.82877224070623",kitchen,845,vinyl,beam,stone cladding,daylight,low,239327,,transitional
23,"https://maps.google.com/?q=-66.06200984802656,125.88108687521196",study,3766,wooden,flat,wood paneling,cool white,high,443288,residential,
24,"https://maps.google.com/?q=-19.564389127070598,169.11944546749697",laundry room,2190,vinyl,custom,wallpaper,chandelier,medium,88811,,vintage
25,"https://maps.google.com/?q=-71.1654786817435,-108.43849089987947",office,4720,marble,beam,paint,daylight,high,386577,,classic
26,"https://maps.google.com/?q=-44.12154431818368,117.9996559145041",library,4635,tile,custom,wallpaper,warm white,high,195982,,minimalist
27,"https://maps.google.com/?q=1.9002685011304266,108.63426476445056",home theater,3111,tile,beam,stone cladding,daylight,low,105419,,classic
28,"https://maps.google.com/?q=80.31580339088259,44.527067745719734",playroom,1506,marble,flat,stone cladding,cool white,low,339803,,vintage
29,"https://maps.google.com/?q=86.5771042263257,-140.23108527350996",hall,1930,concrete,flat,wallpaper,cool white,luxury,522508,,arabic
30,"https://maps.google.com/?q=58.57867506082485,-115.09241665138447",laundry room,3711,concrete,vaulted,wood paneling,recessed,low,251432,landscaping,
31,"https://maps.google.com/?q=-4.837668919434094,-108.45197606713624",bedroom,4707,vinyl,flat,wood paneling,daylight,high,103861,,industrial
32,"https://maps.google.com/?q=-17.92184217602056,117.38293783645616",shop,2141,laminate,vaulted,stone cladding,chandelier,luxury,102049,renovation,
33,"https://maps.google.com/?q=-75.24438072673767,-65.44370913742145",bedroom,980,marble,tray,stone cladding,recessed,low,515123,commercial,
34,"https://maps.google.com/?q=-17.21032876081121,-150.1900439682739",kitchen,3989,concrete,flat,wallpaper,warm white,luxury,172856,,art deco
35,"https://maps.google.com/?q=86.50746527446887,75.20803605951306",office,1328,vinyl,custom,stone cladding,daylight,medium,301375,,transitional
36,"https://maps.google.com/?q=0.28484134241247716,96.3108155441318",living room,2524,laminate,tray,wallpaper,recessed,high,577718,infrastructure,
37,"https://maps.google.com/?q=-36.61379832948377,-131.5052392677664",hall,4786,wooden,vaulted,wood paneling,cool white,luxury,307881,,contemporary
